Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
5,Ravindra Jadeja,5,0,17,0,3.40,15,0,0,0,0
0,Mohammed Shami,7,0,38,0,5.42,24,6,0,0,0
1,Mohammed Siraj,9,1,66,2,7.33,29,7,1,5,0
2,Prasidh Krishna,9,0,48,0,5.33,31,5,1,2,1
3,Hardik Pandya,7,3,24,4,3.42,33,0,2,0,0
4,Yuzvendra Chahal,9.5,0,60,3,6.10,25,0,4,2,0
5,Ravindra Jadeja,4,0,21,1,5.25,11,2,0,0,1
0,Mohammed Siraj,10,0,57,2,5.70,31,7,0,3,0
1,Prasidh Krishna,10,1,62,0,6.20,34,6,3,2,0
2,Shardul Thakur,8,0,54,2,6.75,18,3,1,1,3
3,Axar Patel,7,0,43,0,6.14,17,3,1,0,0
4,Deepak Hooda,5,0,22,0,4.40,14,1,0,3,0
5,Yuzvendra Chahal,10,0,58,2,5.80,28,3,3,0,0
0,Mohammed Siraj,10,1,46,0,4.60,36,4,1,2,0
1,Avesh Khan,6,0,54,0,9.00,13,8,1,0,0
2,Shardul Thakur,7,0,54,3,7.71,16,3,2,3,1
3,Deepak Hooda,9,0,42,1,4.66,27,3,1,0,0
4,Axar Patel,9,1,40,1,4.44,30,3,1,0,0
5,Yuzvendra Chahal,9,0,69,1,7.66,25,2,6,1,0
0,Deepak Hooda,4,1,16,0,4.00,16,1,1,0,0
1,Mohammed Siraj,3,0,14,2,4.66,12,0,1,0,0
2,Axar Patel,6,0,38,1,6.33,15,4,1,0,0
3,Prasidh Krishna,4,0,30,1,7.50,10,5,0,1,0
4,Yuzvendra Chahal,4,0,17,4,4.25,11,1,0,0,0
5,Shardul Thakur,5,0,17,2,3.40,18,1,0,0,0
0,Deepak Chahar,7,0,27,3,3.85,30,3,0,2,0
1,Mohammed Siraj,8,2,36,1,4.50,35,4,0,2,0
2,Kuldeep Yadav,10,1,36,0,3.60,34,0,1,0,0
3,Prasidh Krishna,8,0,50,3,6.25,27,8,0,1,0
4,Axar Patel,7.3,2,24,3,3.20,34,2,1,0,0
0,Mohammed Siraj,8,2,16,1,2.00,42,0,0,4,0
1,Prasidh Krishna,6.1,1,28,1,4.54,27,1,1,1,0
2,Shardul Thakur,7,0,38,3,5.42,27,5,0,3,0
3,Axar Patel,7,1,20,1,2.85,23,0,0,0,0
4,Kuldeep Yadav,8,0,49,1,6.12,22,5,1,1,0
5,Deepak Hooda,2,0,6,1,3.00,7,0,0,0,0
0,Deepak Chahar,10,0,75,2,7.50,25,7,3,1,0
1,Avesh Khan,9.3,1,66,3,6.94,29,7,2,1,2
