,Name,Out/NotOut,Runs,Balls,4s,6s,SR
316,Hardik Pandya,1,71,55,10,0,129.09
317,Ravindra Jadeja,0,7,15,0,0,46.66
318,Shikhar Dhawan,1,97,99,10,3,97.97
319,Shubman Gill,1,64,53,6,2,120.75
320,Shreyas Iyer,1,54,57,5,2,94.73
321,Suryakumar Yadav,1,13,14,2,0,92.85
322,Sanju Samson,1,12,18,0,1,66.66
323,Deepak Hooda,1,27,32,1,1,84.37
324,Axar Patel,1,21,21,1,1,100.00
325,Shardul Thakur,0,7,5,1,0,140.00
326,Mohammed Siraj,0,1,2,0,0,50.00
327,Shikhar Dhawan,1,13,31,0,0,41.93
328,Shubman Gill,1,43,49,5,0,87.75
329,Shreyas Iyer,1,63,71,4,1,88.73
330,Suryakumar Yadav,1,9,8,0,1,112.50
331,Sanju Samson,1,54,51,3,3,105.88
332,Deepak Hooda,1,33,36,2,0,91.66
333,Axar Patel,0,64,35,3,5,182.85
334,Shardul Thakur,1,3,6,0,0,50.00
335,Avesh Khan,1,10,12,2,0,83.33
336,Mohammed Siraj,0,1,1,0,0,100.00
337,Shikhar Dhawan,1,58,74,7,0,78.37
338,Shubman Gill,0,98,98,7,2,100.00
339,Shreyas Iyer,1,44,34,4,1,129.41
340,Suryakumar Yadav,1,8,6,1,0,133.33
341,Sanju Samson,0,6,7,0,0,85.71
342,Shikhar Dhawan,0,81,113,9,0,71.68
343,Shubman Gill,0,82,72,10,1,113.88
344,Shikhar Dhawan,1,33,21,4,0,157.14
345,KL Rahul,1,1,5,0,0,20.00
346,Shubman Gill,1,33,34,6,0,97.05
347,Ishan Kishan,1,6,13,0,0,46.15
348,Deepak Hooda,1,25,36,3,0,69.44
349,Sanju Samson,0,43,39,3,4,110.25
350,Axar Patel,0,6,7,1,0,85.71
351,Shikhar Dhawan,1,40,68,5,0,58.82
352,KL Rahul,1,30,46,1,1,65.21
353,Shubman Gill,1,130,97,15,1,134.02
354,Ishan Kishan,1,50,61,6,0,81.96
355,Deepak Hooda,1,1,3,0,0,33.33
356,Sanju Samson,1,15,13,0,2,115.38
357,Axar Patel,1,1,4,0,0,25.00
358,Shardul Thakur,1,9,6,2,0,150.00
359,Deepak Chahar,0,1,1,0,0,100.00
360,Kuldeep Yadav,0,2,2,0,0,100.00
361,Shikhar Dhawan,1,4,16,0,0,25.00
362,Shubman Gill,1,3,7,0,0,42.85
363,Ruturaj Gaikwad,1,19,42,1,0,45.23
364,Ishan Kishan,1,20,37,3,0,54.05
365,Shreyas Iyer,1,50,37,8,0,135.13
366,Sanju Samson,0,86,63,9,3,136.50
367,Shardul Thakur,1,33,31,5,0,106.45
368,Kuldeep Yadav,1,0,1,0,0,0.00
369,Avesh Khan,1,3,6,0,0,50.00
370,Ravi Bishnoi,0,4,2,1,0,200.00
371,Shikhar Dhawan,1,13,20,0,1,65.00
372,Shubman Gill,1,28,26,5,0,107.69
373,Ishan Kishan,1,93,84,4,7,110.71
374,Shreyas Iyer,0,113,111,15,0,101.80
375,Sanju Samson,0,30,36,1,1,83.33
376,Shikhar Dhawan,1,8,14,1,0,57.14
377,Shubman Gill,1,49,57,8,0,85.96
378,Ishan Kishan,1,10,18,2,0,55.55
379,Shreyas Iyer,0,28,23,3,2,121.73
380,Sanju Samson,0,2,4,0,0,50.00
381,Shikhar Dhawan,1,72,77,13,0,93.50
382,Shubman Gill,1,50,65,1,3,76.92
383,Shreyas Iyer,1,80,76,4,4,105.26
384,Rishabh Pant,1,15,23,2,0,65.21
