,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
206,Prasidh Krishna,8.0,0,53,1,6.62,23,4,2,1,0
207,Yuzvendra Chahal,10.0,0,47,4,4.7,33,4,1,1,0
208,Ravindra Jadeja,5.0,0,17,0,3.4,15,0,0,0,0
209,Mohammed Shami,7.0,0,38,0,5.42,24,6,0,0,0
210,Mohammed Siraj,9.0,1,66,2,7.33,29,7,1,5,0
211,Prasidh Krishna,9.0,0,48,0,5.33,31,5,1,2,1
212,Hardik Pandya,7.0,3,24,4,3.42,33,0,2,0,0
213,Yuzvendra Chahal,9.5,0,60,3,6.1,25,0,4,2,0
214,Ravindra Jadeja,4.0,0,21,1,5.25,11,2,0,0,1
215,Mohammed Siraj,10.0,0,57,2,5.7,31,7,0,3,0
216,Prasidh Krishna,10.0,1,62,0,6.2,34,6,3,2,0
217,Shardul Thakur,8.0,0,54,2,6.75,18,3,1,1,3
218,Axar Patel,7.0,0,43,0,6.14,17,3,1,0,0
219,Deepak Hooda,5.0,0,22,0,4.4,14,1,0,3,0
220,Yuzvendra Chahal,10.0,0,58,2,5.8,28,3,3,0,0
221,Mohammed Siraj,10.0,1,46,0,4.6,36,4,1,2,0
222,Avesh Khan,6.0,0,54,0,9.0,13,8,1,0,0
223,Shardul Thakur,7.0,0,54,3,7.71,16,3,2,3,1
224,Deepak Hooda,9.0,0,42,1,4.66,27,3,1,0,0
225,Axar Patel,9.0,1,40,1,4.44,30,3,1,0,0
226,Yuzvendra Chahal,9.0,0,69,1,7.66,25,2,6,1,0
227,Deepak Hooda,4.0,1,16,0,4.0,16,1,1,0,0
228,Mohammed Siraj,3.0,0,14,2,4.66,12,0,1,0,0
229,Axar Patel,6.0,0,38,1,6.33,15,4,1,0,0
230,Prasidh Krishna,4.0,0,30,1,7.5,10,5,0,1,0
231,Yuzvendra Chahal,4.0,0,17,4,4.25,11,1,0,0,0
232,Shardul Thakur,5.0,0,17,2,3.4,18,1,0,0,0
233,Deepak Chahar,7.0,0,27,3,3.85,30,3,0,2,0
234,Mohammed Siraj,8.0,2,36,1,4.5,35,4,0,2,0
235,Kuldeep Yadav,10.0,1,36,0,3.6,34,0,1,0,0
236,Prasidh Krishna,8.0,0,50,3,6.25,27,8,0,1,0
237,Axar Patel,7.3,2,24,3,3.2,34,2,1,0,0
238,Mohammed Siraj,8.0,2,16,1,2.0,42,0,0,4,0
239,Prasidh Krishna,6.1,1,28,1,4.54,27,1,1,1,0
240,Shardul Thakur,7.0,0,38,3,5.42,27,5,0,3,0
241,Axar Patel,7.0,1,20,1,2.85,23,0,0,0,0
242,Kuldeep Yadav,8.0,0,49,1,6.12,22,5,1,1,0
243,Deepak Hooda,2.0,0,6,1,3.0,7,0,0,0,0
244,Deepak Chahar,10.0,0,75,2,7.5,25,7,3,1,0
245,Avesh Khan,9.3,1,66,3,6.94,29,7,2,1,2
246,Shardul Thakur,9.0,0,55,1,6.11,26,5,0,2,2
247,Kuldeep Yadav,10.0,0,38,2,3.8,33,1,0,2,0
248,Deepak Hooda,1.0,0,9,0,9.0,3,2,0,0,0
249,Axar Patel,10.0,1,30,2,3.0,39,2,0,1,0
250,Mohammed Siraj,8.0,0,49,0,6.12,26,5,1,3,0
251,Avesh Khan,8.0,0,51,0,6.37,28,4,2,2,0
252,Shardul Thakur,8.0,1,35,2,4.37,26,3,0,2,0
253,Ravi Bishnoi,8.0,0,69,1,8.62,21,7,1,4,1
254,Kuldeep Yadav,8.0,0,39,1,4.87,24,2,1,0,0
255,Mohammed Siraj,10.0,1,38,3,3.8,39,5,0,2,0
256,Washington Sundar,9.0,0,60,1,6.66,20,6,1,0,0
257,Shahbaz Ahmed,10.0,0,54,1,5.4,25,4,1,0,0
258,Avesh Khan,7.0,0,35,0,5.0,24,5,0,1,0
259,Kuldeep Yadav,9.0,0,49,1,5.44,24,2,2,0,0
260,Shardul Thakur,5.0,0,36,1,7.2,11,5,0,0,0
261,Washington Sundar,4.0,0,15,2,3.75,17,2,0,2,0
262,Mohammed Siraj,5.0,0,17,2,3.4,23,3,0,0,0
263,Avesh Khan,5.0,1,8,0,1.6,24,0,0,2,0
264,Shahbaz Ahmed,7.0,0,32,2,4.57,23,4,0,0,0
265,Shardul Thakur,2.0,0,8,0,4.0,7,1,0,0,0
266,Kuldeep Yadav,4.1,1,18,4,4.32,15,1,1,0,0
267,Arshdeep Singh,8.1,0,68,0,8.32,22,6,3,1,1
268,Shardul Thakur,9.0,1,63,1,7.0,31,10,1,3,0
269,Washington Sundar,10.0,0,42,0,4.2,31,2,1,1,0
270,Umran Malik,10.0,0,66,2,6.6,30,6,2,1,1
271,Yuzvendra Chahal,10.0,0,67,0,6.7,25,7,1,2,0
272,Deepak Chahar,5.0,0,30,0,6.0,19,6,0,0,0
273,Arshdeep Singh,5.0,1,21,0,4.2,23,4,0,1,0
274,Umran Malik,5.0,0,31,1,6.2,18,4,0,2,0
275,Washington Sundar,3.0,0,16,0,5.33,7,0,1,0,0
276,Deepak Chahar,8.0,1,32,1,4.0,35,5,0,0,2
277,Mohammed Siraj,10.0,1,32,3,3.2,46,4,0,2,0
278,Kuldeep Sen,5.0,0,37,2,7.4,16,1,3,3,0
279,Shahbaz Ahmed,9.0,0,39,0,4.33,27,3,0,0,0
280,Washington Sundar,5.0,0,17,2,3.4,17,0,0,0,0
281,Shardul Thakur,9.0,1,21,1,2.33,39,1,0,1,0
282,Deepak Chahar,3.0,0,12,0,4.0,12,1,0,0,0
283,Mohammed Siraj,10.0,0,73,2,7.3,35,10,1,4,1
284,Shardul Thakur,10.0,1,47,0,4.7,35,2,2,2,0
285,Umran Malik,10.0,2,58,2,5.8,35,9,0,1,1
286,Washington Sundar,10.0,0,37,3,3.7,36,2,1,0,0
287,Axar Patel,7.0,0,40,0,5.71,17,2,1,0,0
288,Mohammed Siraj,5.0,0,27,1,5.4,16,2,1,0,0
289,Shardul Thakur,5.0,0,30,3,6.0,22,3,2,2,0
290,Axar Patel,5.0,0,22,2,4.4,15,2,0,0,0
291,Umran Malik,8.0,0,43,2,5.37,24,5,0,0,1
292,Kuldeep Yadav,10.0,1,53,1,5.3,31,2,3,1,0
293,Washington Sundar,1.0,0,2,1,2.0,4,0,0,0,0
294,Mohammed Shami,9.0,0,67,1,7.44,29,9,1,2,0
295,Mohammed Siraj,7.0,1,30,2,4.28,29,3,1,0,0
296,Hardik Pandya,6.0,0,33,1,5.5,18,4,0,2,0
297,Umran Malik,8.0,0,57,3,7.12,27,10,0,4,0
298,Yuzvendra Chahal,10.0,0,58,1,5.8,33,6,2,0,0
299,Axar Patel,10.0,0,58,0,5.8,32,7,1,0,0
300,Mohammed Shami,7.0,0,43,0,6.14,23,7,0,1,0
301,Mohammed Siraj,5.4,0,30,3,5.29,24,4,1,2,0
302,Hardik Pandya,5.0,0,26,0,5.2,14,2,0,2,0
303,Umran Malik,7.0,0,48,2,6.85,21,6,1,0,1
304,Kuldeep Yadav,10.0,0,51,3,5.1,33,6,1,0,0
305,Axar Patel,5.0,0,16,1,3.2,18,1,0,0,0
306,Mohammed Shami,6.0,2,20,2,3.33,31,3,0,2,0
307,Mohammed Siraj,10.0,1,32,4,3.2,46,5,0,1,0
308,Kuldeep Yadav,5.0,1,16,2,3.2,23,3,0,0,0
309,Shreyas Iyer,1.0,0,2,0,2.0,4,0,0,0,0
310,Mohammed Shami,10.0,1,69,1,6.9,30,8,3,0,0
311,Mohammed Siraj,10.0,2,46,4,4.6,39,7,0,4,0
312,Hardik Pandya,7.0,0,70,1,10.0,14,7,3,3,0
313,Kuldeep Yadav,8.0,1,43,2,5.37,29,4,2,0,0
314,Shardul Thakur,7.2,0,54,2,7.36,27,6,2,7,0
315,Washington Sundar,7.0,0,50,0,7.14,18,3,3,0,0
316,Mohammed Shami,6.0,1,18,3,3.0,30,3,0,3,0
317,Mohammed Siraj,6.0,1,10,1,1.66,30,1,0,0,0
