Abc,Name,Out/NotOut,Runs,Balls,4s,6s,SR
0,Rohit Sharma (c),Out,17,21,2,1,80.95
1,Shubman Gill,Out,21,12,5,0,175.00
2,Virat Kohli,Out,4,9,1,0,44.44
3,Shreyas Iyer,Out,28,33,5,0,84.84
4,KL Rahul,Not Out,64,103,6,0,62.13
5,Hardik Pandya,Out,36,53,4,0,67.92
6,Axar Patel,Out,21,21,1,1,100.00
7,Kuldeep Yadav,Not Out,10,10,2,0,100.00
0,Rohit Sharma (c),Out,42,49,2,3,85.71
1,Shubman Gill,Out,116,97,14,2,119.58
2,Virat Kohli,Not Out,166,110,13,8,150.90
3,Shreyas Iyer,Out,38,32,2,1,118.75
4,KL Rahul,Out,7,6,1,0,116.66
5,Suryakumar Yadav,Out,4,4,0,0,100.00
6,Axar Patel,Not Out,2,2,0,0,100.00
0,Rohit Sharma (c),Out,34,38,4,2,89.47
1,Shubman Gill,Out,208,149,19,9,139.59
2,Virat Kohli,Out,8,10,1,0,80.00
3,Ishan Kishan,Out,5,14,0,0,35.71
4,Suryakumar Yadav,Out,31,26,4,0,119.23
5,Hardik Pandya,Out,28,38,3,0,73.68
6,Washington Sundar,Out,12,14,0,0,85.71
7,Shardul Thakur,Out,3,3,0,0,100.00
8,Kuldeep Yadav,Not Out,5,6,0,0,83.33
9,Mohammed Shami,Not Out,2,2,0,0,100.00
0,Rohit Sharma (c),Out,51,50,7,2,102.00
1,Shubman Gill,Not Out,40,53,6,0,75.47
2,Virat Kohli,Out,11,9,2,0,122.22
3,Ishan Kishan,Not Out,8,9,2,0,88.88
0,Rohit Sharma (c),Out,101,85,9,6,118.82
1,Shubman Gill,Out,112,78,13,5,143.58
2,Virat Kohli,Out,36,27,3,1,133.33
3,Ishan Kishan,Out,17,24,1,1,70.83
4,Suryakumar Yadav,Out,14,9,0,2,155.55
5,Hardik Pandya,Out,54,38,3,3,142.10
6,Washington Sundar,Out,9,14,1,0,64.28
7,Shardul Thakur,Out,25,17,3,1,147.05
8,Kuldeep Yadav,Out,3,3,0,0,100.00
9,Umran Malik,Not Out,2,5,0,0,40.00
0,Ishan Kishan,Out,3,8,0,0,37.50
1,Shubman Gill,Out,20,31,3,0,64.51
2,Virat Kohli,Out,4,9,1,0,44.44
3,Suryakumar Yadav,Out,0,1,0,0,0.00
4,KL Rahul,Not Out,75,91,7,1,82.41
5,Hardik Pandya (c),Out,25,31,3,1,80.64
6,Ravindra Jadeja,Not Out,45,69,5,0,65.21
0,Rohit Sharma (c),Out,13,15,2,0,86.66
1,Shubman Gill,Out,0,2,0,0,0.00
2,Virat Kohli,Out,31,35,4,0,88.57
3,Suryakumar Yadav,Out,0,1,0,0,0.00
4,KL Rahul,Out,9,12,1,0,75.00
5,Hardik Pandya,Out,1,3,0,0,33.33
6,Ravindra Jadeja,Out,16,39,1,0,41.02
7,Axar Patel,Not Out,29,29,1,2,100.00
8,Kuldeep Yadav,Out,4,17,0,0,23.52
9,Mohammed Shami,Out,0,1,0,0,0.00
10,Mohammed Siraj,Out,0,3,0,0,0.00
0,Rohit Sharma (c),Out,30,17,2,2,176.47
1,Shubman Gill,Out,37,49,4,1,75.51
2,Virat Kohli,Out,54,72,2,1,75.00
3,KL Rahul,Out,32,50,2,1,64.00
4,Axar Patel,Out,2,4,0,0,50.00
5,Hardik Pandya,Out,40,40,3,1,100.00
6,Suryakumar Yadav,Out,0,1,0,0,0.00
7,Ravindra Jadeja,Out,18,33,1,0,54.54
8,Kuldeep Yadav,Out,6,15,0,0,40.00
9,Mohammed Shami,Out,14,10,1,1,140.00
10,Mohammed Siraj,Not Out,3,5,0,0,60.00
0,Ishan Kishan,Out,52,46,7,1,113.04
1,Shubman Gill,Out,7,16,1,0,43.75
2,Suryakumar Yadav,Out,19,25,3,1,76.00
3,Hardik Pandya,Out,5,7,0,0,71.42
