Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,india vs england,Bhuvneshwar Kumar,10,0,63,1,6.3,32,7,2,1,0,ODI no. 4283
1,india vs england,Prasidh Krishna,10,0,58,2,5.8,38,9,1,1,1,ODI no. 4283
2,india vs england,Shardul Thakur,7.3,0,54,0,7.2,23,4,3,1,1,ODI no. 4283
3,india vs england,Kuldeep Yadav,10,0,84,0,8.4,27,3,8,1,0,ODI no. 4283
4,india vs england,Krunal Pandya,6,0,72,0,12,6,1,6,3,0,ODI no. 4283
0,india vs england,Bhuvneshwar Kumar,10,0,42,3,4.2,40,6,0,3,0,ODI no. 4284
1,india vs england,T Natarajan,10,0,73,1,7.3,29,7,2,7,0,ODI no. 4284
2,india vs england,Prasidh Krishna,7,0,62,0,8.85,18,10,1,0,0,ODI no. 4284
3,india vs england,Shardul Thakur,10,0,67,4,6.7,25,7,1,1,0,ODI no. 4284
4,india vs england,Hardik Pandya,9,0,48,0,5.33,23,3,1,0,0,ODI no. 4284
5,india vs england,Krunal Pandya,4,0,29,0,7.25,7,0,2,1,0,ODI no. 4284
0,sri lanka vs india,Bhuvneshwar Kumar,9,0,63,0,7,25,2,2,5,0,ODI no. 4307
1,sri lanka vs india,Deepak Chahar,7,1,37,2,5.28,23,3,1,2,0,ODI no. 4307
2,sri lanka vs india,Hardik Pandya,5,0,34,1,6.8,12,3,1,0,1,ODI no. 4307
3,sri lanka vs india,Yuzvendra Chahal,10,0,52,2,5.2,33,1,3,3,0,ODI no. 4307
4,sri lanka vs india,Kuldeep Yadav,9,1,48,2,5.33,29,5,0,1,0,ODI no. 4307
5,sri lanka vs india,Krunal Pandya,10,1,26,1,2.6,36,0,0,1,0,ODI no. 4307
0,sri lanka vs india,Bhuvneshwar Kumar,10,0,54,3,5.4,33,7,0,1,1,ODI no. 4309
1,sri lanka vs india,Deepak Chahar,8,0,53,2,6.62,26,6,1,3,0,ODI no. 4309
2,sri lanka vs india,Hardik Pandya,4,0,20,0,5,15,1,0,3,1,ODI no. 4309
3,sri lanka vs india,Yuzvendra Chahal,10,1,50,3,5,26,4,0,0,0,ODI no. 4309
4,sri lanka vs india,Kuldeep Yadav,10,0,55,0,5.5,21,3,0,1,0,ODI no. 4309
5,sri lanka vs india,Krunal Pandya,8,0,37,0,4.62,23,3,0,1,0,ODI no. 4309
0,sri lanka vs india,Navdeep Saini,5,0,27,0,5.4,18,1,1,1,1,ODI no. 4312
1,sri lanka vs india,Chetan Sakariya,8,0,34,2,4.25,32,4,0,1,2,ODI no. 4312
2,sri lanka vs india,Rahul Chahar,10,0,54,3,5.4,31,6,0,0,2,ODI no. 4312
3,sri lanka vs india,Krishnappa Gowtham,8,0,49,1,6.12,25,6,0,2,0,ODI no. 4312
4,sri lanka vs india,Hardik Pandya,5,0,43,1,8.6,12,5,0,3,0,ODI no. 4312
5,sri lanka vs india,Nitish Rana,3,0,10,0,3.33,9,0,0,0,0,ODI no. 4312
