,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
107,NZ vs IND,Ravindra Jadeja,10.0,0,35,1,3.5,34,3,0,0,0,ODI no. 4239
108,NZ vs IND,Jasprit Bumrah,10.0,0,50,0,5.0,32,4,1,0,0,ODI no. 4243
109,NZ vs IND,Navdeep Saini,8.0,0,68,0,8.5,26,8,2,2,2,ODI no. 4243
110,NZ vs IND,Yuzvendra Chahal,10.0,1,47,3,4.7,28,3,1,0,0,ODI no. 4243
111,NZ vs IND,Shardul Thakur,9.1,0,87,1,9.49,22,10,4,4,0,ODI no. 4243
112,NZ vs IND,Ravindra Jadeja,10.0,0,45,1,4.5,25,3,0,0,0,ODI no. 4243
113,AUS vs IND,Mohammed Shami,10.0,0,59,3,5.9,30,5,1,1,0,ODI no. 4265
114,AUS vs IND,Jasprit Bumrah,10.0,0,73,1,7.3,25,9,0,2,1,ODI no. 4265
115,AUS vs IND,Navdeep Saini,10.0,0,83,1,8.3,21,8,2,3,0,ODI no. 4265
116,AUS vs IND,Yuzvendra Chahal,10.0,0,89,1,8.9,25,5,5,3,1,ODI no. 4265
117,AUS vs IND,Ravindra Jadeja,10.0,0,63,0,6.3,27,6,1,1,0,ODI no. 4265
118,AUS vs IND,Mohammed Shami,9.0,0,73,1,8.11,20,9,1,1,0,ODI no. 4266
119,AUS vs IND,Jasprit Bumrah,10.0,1,79,1,7.9,22,9,1,1,0,ODI no. 4266
120,AUS vs IND,Navdeep Saini,7.0,0,70,0,10.0,15,7,3,2,1,ODI no. 4266
121,AUS vs IND,Yuzvendra Chahal,9.0,0,71,0,7.88,19,4,4,0,0,ODI no. 4266
122,AUS vs IND,Ravindra Jadeja,10.0,0,60,0,6.0,19,3,1,0,0,ODI no. 4266
123,AUS vs IND,Mayank Agarwal,1.0,0,10,0,10.0,2,2,0,0,0,ODI no. 4266
124,AUS vs IND,Hardik Pandya,4.0,0,24,1,6.0,10,2,0,0,0,ODI no. 4266
125,AUS vs IND,Jasprit Bumrah,9.3,0,43,2,4.52,35,3,1,5,0,ODI no. 4267
126,AUS vs IND,T Natarajan,10.0,1,70,2,7.0,30,7,2,4,1,ODI no. 4267
127,AUS vs IND,Shardul Thakur,10.0,1,51,3,5.1,29,5,0,0,0,ODI no. 4267
128,AUS vs IND,Kuldeep Yadav,10.0,0,57,1,5.7,26,3,1,0,0,ODI no. 4267
129,AUS vs IND,Ravindra Jadeja,10.0,0,62,1,6.2,31,3,4,0,1,ODI no. 4267
130,IND vs ENG,Bhuvneshwar Kumar,9.0,0,30,2,3.33,34,2,0,2,0,ODI no. 4281
131,IND vs ENG,Prasidh Krishna,8.1,1,54,4,6.61,30,5,2,3,0,ODI no. 4281
132,IND vs ENG,Shardul Thakur,6.0,0,37,3,6.16,18,3,1,0,0,ODI no. 4281
133,IND vs ENG,Krunal Pandya,10.0,0,59,1,5.9,31,4,3,0,0,ODI no. 4281
134,IND vs ENG,Kuldeep Yadav,9.0,0,68,0,7.55,23,5,4,1,0,ODI no. 4281
135,IND vs ENG,Bhuvneshwar Kumar,10.0,0,63,1,6.3,32,7,2,1,0,ODI no. 4283
136,IND vs ENG,Prasidh Krishna,10.0,0,58,2,5.8,38,9,1,1,1,ODI no. 4283
137,IND vs ENG,Shardul Thakur,7.3,0,54,0,7.2,23,4,3,1,1,ODI no. 4283
138,IND vs ENG,Kuldeep Yadav,10.0,0,84,0,8.4,27,3,8,1,0,ODI no. 4283
139,IND vs ENG,Krunal Pandya,6.0,0,72,0,12.0,6,1,6,3,0,ODI no. 4283
140,IND vs ENG,Bhuvneshwar Kumar,10.0,0,42,3,4.2,40,6,0,3,0,ODI no. 4284
141,IND vs ENG,T Natarajan,10.0,0,73,1,7.3,29,7,2,7,0,ODI no. 4284
142,IND vs ENG,Prasidh Krishna,7.0,0,62,0,8.85,18,10,1,0,0,ODI no. 4284
143,IND vs ENG,Shardul Thakur,10.0,0,67,4,6.7,25,7,1,1,0,ODI no. 4284
144,IND vs ENG,Hardik Pandya,9.0,0,48,0,5.33,23,3,1,0,0,ODI no. 4284
