,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
168,AUS vs IND,Ravindra Jadeja,1,25,37,0,1,67.56,ODI no. 4265
169,AUS vs IND,Navdeep Saini,0,29,35,1,1,82.85,ODI no. 4265
170,AUS vs IND,Mohammed Shami,1,13,10,1,1,130.00,ODI no. 4265
171,AUS vs IND,Jasprit Bumrah,0,0,3,0,0,0.00,ODI no. 4265
172,AUS vs IND,Mayank Agarwal,1,28,26,4,0,107.69,ODI no. 4266
173,AUS vs IND,Shikhar Dhawan,1,30,23,5,0,130.43,ODI no. 4266
174,AUS vs IND,Virat Kohli,1,89,87,7,2,102.29,ODI no. 4266
175,AUS vs IND,Shreyas Iyer,1,38,36,5,0,105.55,ODI no. 4266
176,AUS vs IND,KL Rahul,1,76,66,4,5,115.15,ODI no. 4266
177,AUS vs IND,Hardik Pandya,1,28,31,1,1,90.32,ODI no. 4266
178,AUS vs IND,Ravindra Jadeja,1,24,11,1,2,218.18,ODI no. 4266
179,AUS vs IND,Navdeep Saini,0,10,10,1,0,100.00,ODI no. 4266
180,AUS vs IND,Mohammed Shami,1,1,4,0,0,25.00,ODI no. 4266
181,AUS vs IND,Jasprit Bumrah,1,0,2,0,0,0.00,ODI no. 4266
182,AUS vs IND,Yuzvendra Chahal,0,4,6,0,0,66.66,ODI no. 4266
183,AUS vs IND,Shikhar Dhawan,1,16,27,2,0,59.25,ODI no. 4267
184,AUS vs IND,Shubman Gill,1,33,39,3,1,84.61,ODI no. 4267
185,AUS vs IND,Virat Kohli,1,63,78,5,0,80.76,ODI no. 4267
186,AUS vs IND,Shreyas Iyer,1,19,21,2,0,90.47,ODI no. 4267
187,AUS vs IND,KL Rahul,1,5,11,0,0,45.45,ODI no. 4267
188,AUS vs IND,Hardik Pandya,0,92,76,7,1,121.05,ODI no. 4267
189,AUS vs IND,Ravindra Jadeja,0,66,50,5,3,132.00,ODI no. 4267
190,IND vs ENG,Rohit Sharma,1,28,42,4,0,66.66,ODI no. 4281
191,IND vs ENG,Shikhar Dhawan,1,98,106,11,2,92.45,ODI no. 4281
192,IND vs ENG,Virat Kohli,1,56,60,6,0,93.33,ODI no. 4281
193,IND vs ENG,Shreyas Iyer,1,6,9,1,0,66.66,ODI no. 4281
194,IND vs ENG,KL Rahul,0,62,43,4,4,144.18,ODI no. 4281
195,IND vs ENG,Hardik Pandya,1,1,9,0,0,11.11,ODI no. 4281
196,IND vs ENG,Krunal Pandya,0,58,31,7,2,187.09,ODI no. 4281
197,IND vs ENG,Rohit Sharma,1,25,25,5,0,100.00,ODI no. 4283
198,IND vs ENG,Shikhar Dhawan,1,4,17,0,0,23.52,ODI no. 4283
199,IND vs ENG,Virat Kohli,1,66,79,3,1,83.54,ODI no. 4283
200,IND vs ENG,KL Rahul,1,108,114,7,2,94.73,ODI no. 4283
201,IND vs ENG,Rishabh Pant,1,77,40,3,7,192.50,ODI no. 4283
202,IND vs ENG,Hardik Pandya,1,35,16,1,4,218.75,ODI no. 4283
203,IND vs ENG,Krunal Pandya,0,12,9,1,0,133.33,ODI no. 4283
204,IND vs ENG,Shardul Thakur,0,0,0,0,0,-,ODI no. 4283
205,IND vs ENG,Rohit Sharma,1,37,37,6,0,100.00,ODI no. 4284
206,IND vs ENG,Shikhar Dhawan,1,67,56,10,0,119.64,ODI no. 4284
207,IND vs ENG,Virat Kohli,1,7,10,1,0,70.00,ODI no. 4284
208,IND vs ENG,Rishabh Pant,1,78,62,5,4,125.80,ODI no. 4284
209,IND vs ENG,KL Rahul,1,7,18,0,0,38.88,ODI no. 4284
210,IND vs ENG,Hardik Pandya,1,64,44,5,4,145.45,ODI no. 4284
211,IND vs ENG,Krunal Pandya,1,25,34,0,0,73.52,ODI no. 4284
212,IND vs ENG,Shardul Thakur,1,30,21,1,3,142.85,ODI no. 4284
213,IND vs ENG,Bhuvneshwar Kumar,1,3,5,0,0,60.00,ODI no. 4284
214,IND vs ENG,Prasidh Krishna,1,0,3,0,0,0.00,ODI no. 4284
215,IND vs ENG,T Natarajan,0,0,0,0,0,-,ODI no. 4284
216,SL vs IND,Prithvi Shaw,1,43,24,9,0,179.16,ODI no. 4307
217,SL vs IND,Shikhar Dhawan,0,86,95,6,1,90.52,ODI no. 4307
218,SL vs IND,Ishan Kishan,1,59,42,8,2,140.47,ODI no. 4307
219,SL vs IND,Manish Pandey,1,26,40,1,1,65.00,ODI no. 4307
220,SL vs IND,Suryakumar Yadav,0,31,20,5,0,155.00,ODI no. 4307
221,SL vs IND,Prithvi Shaw,1,13,11,3,0,118.18,ODI no. 4309
222,SL vs IND,Shikhar Dhawan,1,29,38,6,0,76.31,ODI no. 4309
223,SL vs IND,Ishan Kishan,1,1,4,0,0,25.00,ODI no. 4309
224,SL vs IND,Manish Pandey,1,37,31,3,0,119.35,ODI no. 4309
225,SL vs IND,Suryakumar Yadav,1,53,44,6,0,120.45,ODI no. 4309
226,SL vs IND,Hardik Pandya,1,0,3,0,0,0.00,ODI no. 4309
227,SL vs IND,Krunal Pandya,1,35,54,3,0,64.81,ODI no. 4309
228,SL vs IND,Deepak Chahar,0,69,82,7,1,84.14,ODI no. 4309
229,SL vs IND,Bhuvneshwar Kumar,0,19,28,2,0,67.85,ODI no. 4309
230,SL vs IND,Prithvi Shaw,1,49,49,8,0,100.00,ODI no. 4312
231,SL vs IND,Shikhar Dhawan,1,13,11,3,0,118.18,ODI no. 4312
232,SL vs IND,Sanju Samson,1,46,46,5,1,100.00,ODI no. 4312
233,SL vs IND,Manish Pandey,1,11,19,0,0,57.89,ODI no. 4312
234,SL vs IND,Suryakumar Yadav,1,40,37,7,0,108.10,ODI no. 4312
235,SL vs IND,Hardik Pandya,1,19,17,3,0,111.76,ODI no. 4312
236,SL vs IND,Nitish Rana,1,7,14,0,0,50.00,ODI no. 4312
237,SL vs IND,Krishnappa Gowtham,1,2,3,0,0,66.66,ODI no. 4312
238,SL vs IND,Rahul Chahar,1,13,25,0,0,52.00,ODI no. 4312
239,SL vs IND,Navdeep Saini,1,15,37,0,0,40.54,ODI no. 4312
240,SL vs IND,Chetan Sakariya,0,0,1,0,0,0.00,ODI no. 4312
241,SA vs IND,KL Rahul,1,12,17,0,0,70.58,ODI no. 4344
242,SA vs IND,Shikhar Dhawan,1,79,84,10,0,94.04,ODI no. 4344
243,SA vs IND,Virat Kohli,1,51,63,3,0,80.95,ODI no. 4344
244,SA vs IND,Rishabh Pant,1,16,22,1,0,72.72,ODI no. 4344
245,SA vs IND,Shreyas Iyer,1,17,17,1,0,100.00,ODI no. 4344
246,SA vs IND,Venkatesh Iyer,1,2,7,0,0,28.57,ODI no. 4344
247,SA vs IND,Ravichandran Ashwin,1,7,13,0,0,53.84,ODI no. 4344
248,SA vs IND,Shardul Thakur,0,50,43,5,1,116.27,ODI no. 4344
249,SA vs IND,Bhuvneshwar Kumar,1,4,11,0,0,36.36,ODI no. 4344
250,SA vs IND,Jasprit Bumrah,0,14,23,1,0,60.86,ODI no. 4344
251,SA vs IND,KL Rahul,1,55,79,4,0,69.62,ODI no. 4346
252,SA vs IND,Shikhar Dhawan,1,29,38,5,0,76.31,ODI no. 4346
253,SA vs IND,Virat Kohli,1,0,5,0,0,0.00,ODI no. 4346
254,SA vs IND,Rishabh Pant,1,85,71,10,2,119.71,ODI no. 4346
255,SA vs IND,Shreyas Iyer,1,11,14,0,0,78.57,ODI no. 4346
256,SA vs IND,Venkatesh Iyer,1,22,33,0,1,66.66,ODI no. 4346
257,SA vs IND,Shardul Thakur,0,40,38,3,1,105.26,ODI no. 4346
258,SA vs IND,Ravichandran Ashwin,0,25,24,1,1,104.16,ODI no. 4346
259,SA vs IND,KL Rahul,1,9,10,2,0,90.00,ODI no. 4349
